y,roach1,treatment,senior,exposure2
153,308,1,0,0.8
127,331.25,1,0,0.6
7,1.67,1,0,1
7,3,1,0,1
0,2,1,0,1.14285714285714
0,0,1,0,1
73,70,1,0,0.8
24,64.56,1,0,1.14285714285714
2,1,0,0,1
2,14,0,0,1.14285714285714
0,138.25,0,0,1
21,16,0,0,1
0,97,0,0,1
179,98,0,0,0.8
136,44,0,0,1
104,450,0,0,0.8
2,36.67,0,0,0.8
5,75,0,0,1
1,2,0,0,1
203,342.5,0,0,1
32,22.5,0,0,1
1,4,0,0,1
135,94,0,0,1
59,132.13,0,0,0.857142857142857
29,80,0,0,1
120,95,0,0,1
44,34.13,0,0,0.8
1,19,0,0,1
2,25,0,0,1
193,57.5,0,0,1
13,3.11,0,0,1
37,10.5,0,0,1
2,47,0,0,1
0,2.63,0,0,1
3,204,0,0,1
0,0,0,0,1
0,0,0,0,1
15,246.25,0,0,0.8
11,76.22,0,0,1.57142857142857
19,15,0,0,1.42857142857143
0,14.88,0,0,1
19,51,0,0,1
4,15,0,0,1
122,52.5,0,0,0.8
48,13.75,0,0,1
0,1.17,0,0,1
0,1,0,0,1
3,2,0,0,1
0,0,0,0,1
9,2,0,0,1
0,2,0,0,1.14285714285714
0,30,0,0,1.14285714285714
0,7,0,0,1
12,18,0,0,1
0,2,0,0,0.8
357,266,0,0,1
11,174,1,0,0.914285714285714
60,252,1,0,1
0,0.88,1,0,1.28571428571429
159,372.5,1,0,1
50,42,1,0,1
48,19,1,0,0.771428571428571
178,263,1,0,1
4,34,1,0,1.42857142857143
6,1.75,1,0,1
0,213.5,1,0,0.771428571428571
33,13.13,1,0,1
127,154,1,0,1
4,21,1,0,1
63,220,1,0,1
88,38.32,1,0,1
5,352.5,1,0,0.6
0,7,1,0,1
0,4,1,0,1
62,59.5,1,0,1
4,7.5,1,0,1
150,112.88,1,0,1.28571428571429
38,172,1,0,1
0,13,1,0,1
3,18,1,0,1
1,0,1,0,1
14,27,1,0,1
77,148,1,0,1
42,32,1,0,1.14285714285714
21,28,1,0,1
1,0,1,0,1
45,28,1,0,1
0,0,1,1,0.8
0,14,1,1,0.8
0,5,1,1,1
0,0,1,1,1
0,104,1,1,0.685714285714286
183,27,1,1,1
28,132,1,1,1
49,258,1,1,1
1,1,1,1,1
0,2,1,1,1
0,6,1,1,1
3,3,1,1,0.8
0,3,1,1,0.857142857142857
0,0,1,1,1
0,0,1,1,1
0,0,1,1,1
18,1.25,1,1,1
0,0,1,1,1
0,16,1,1,1
5,68,1,1,0.4
0,1,1,1,0.8
19,18,1,1,1.14285714285714
5,123.67,1,1,1
0,2,1,1,0.8
27,82.5,1,1,1
0,0,1,1,0.2
0,1.25,1,1,1
77,171,1,1,1
1,91.88,1,1,1
3,5,1,1,1
2,7,1,1,1
0,0,1,1,1
0,4,1,1,1
22,53.75,1,1,1
102,138.06,1,1,1.14285714285714
0,1,1,1,1.14285714285714
0,1.25,1,1,1
0,28,1,1,0.8
0,15,1,1,1
0,0.88,1,1,0.8
0,0,1,1,1
0,33,1,1,1
4,136.25,1,1,4.28571428571429
12,127.5,1,1,0.8
2,2,1,1,0.8
0,2,1,1,0.8
0,0,1,1,1
1,3,1,1,1
0,46,1,1,1.28571428571429
40,68,1,1,1
0,0,1,1,1
1,49,1,1,1
2,27.13,1,1,1
27,45.5,1,0,1
0,0,1,0,0.457142857142857
2,4,1,0,1
0,0,1,0,2.42857142857143
0,1,1,0,1.42857142857143
0,0,1,0,1
0,0,1,0,1
3,10.5,1,0,1.14285714285714
1,0,1,0,1
20,3,1,0,1.14285714285714
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,3.75,1,0,0.8
0,0,1,0,1.14285714285714
0,0,1,0,1
0,0,0,0,0.8
0,0.88,0,0,1.57142857142857
0,2,1,0,1
53,81,1,0,1.14285714285714
69,31,1,0,2.28571428571429
15,10,1,0,1
0,10.23,1,0,0.571428571428571
2,0,0,0,0.8
4,13,1,0,0.857142857142857
6,1,1,0,0.8
8,33.25,1,0,0.857142857142857
0,0,0,0,2.28571428571429
0,53,0,0,0.8
0,5,1,0,1
18,157,1,0,0.857142857142857
38,23.33,1,0,1
0,6,1,0,1.02857142857143
2,10,1,0,0.6
18,100,1,0,0.857142857142857
34,55,1,0,1
1,0,1,0,0.8
